;Setores Econômicos;Setores Econômicos;Setores Econômicos;Setores Econômicos;Setores Econômicos;Setores Econômicos;Setores Econômicos
;Setor Econômicoarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward
0;Atividades de atendimento hospitalar;1405  2297;+24,6%;271  109;-25,9%;1106  2300;+73,8%
1;Transporte rodoviário de carga;489  280;-8,2%;355  88;-46,7%;1014  1295;+45,2%
2;Fabricação de açúcar em bruto;183  243;+167%;74  19;-50%;230  213;-1,4%
3;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;328  235;-14,5%;266  62;-49,2%;1035  1276;+29,4%
4;Coleta de resíduos não-perigosos;121  223;+30,4%;46  8;-66,7%;155  124;+24%
5;Bancos múltiplos, com carteira comercial;520  195;+34,5%;542  441;-26,9%;251  915;+162,2%
6;Construção de edifícios;598  190;-14,8%;551  89;-48,6%;2494  1183;+4,2%
7;Fabricação de calçados de couro;188  189;-31,8%;146  21;-69,6%;1300  730;+1,1%
8;Administração pública em geral;740  143;+33,6%;675  109;-73,7%;5849  4864;-26%
9;Comércio atacadista de bebidas;164  140;-29,3%;83  25;-69,5%;192  260;-18,5%
0;Atividades de apoio à gestão de saúde;66  139;+10,3%;5  8;+100%;68  309;+74,6%
1;Obras para geração e distribuição de energia elétrica e para telecomunicações;185  132;-34,7%;105  34;-39,3%;211  556;+49,1%
2;Hotéis e similares;174  130;-38,4%;136  28;-71,7%;621  654;-9,7%
3;Atividades de serviços de complementação diagnóstica e terapêutica;58  125;+7,8%;27  9;-64%;166  415;+42,6%
4;Fabricação de embalagens de material plástico;108  99;-12,4%;45  13;-50%;89  139;+28,7%
5;Atividades de associações de defesa de direitos sociais;153  99;-22%;111  48;-36,8%;644  1794;+111,1%
6;Abate de suínos, aves e outros pequenos animais;61  96;+10,3%;31  8;-70,4%;95  145;+6,6%
7;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;166  89;-36,4%;237  45;-60,9%;1220  1096;-16,3%
8;Instalações elétricas;64  84;-5,6%;48  17;-48,5%;203  288;+7,5%
9;Atividades de transporte de valores;88  84;+18,3%;45  12;-47,8%;126  156;+143,8%
0;Serviços de catering, bufê e outros serviços de comida preparada;145  79;+41,1%;77  19;-55,8%;353  327;+23,4%
1;Condomínios prediais;79  79;+12,9%;82  29;-46,3%;550  575;+4,9%
2;Cultivo de uva;64  78;+27,9%;42  7;+40%;242  207;+47,9%
3;Incorporação de empreendimentos imobiliários;529  76;-45,7%;156  4;-75%;674  117;-0,8%
