;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios
;Municípioarrow_upward;UFarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward;Smartline SINAN (2007 a 2020)arrow_upward;Variação SINAN (2019-2020)arrow_upward
0;Salvador;BA;6334  4208;-22,8%;3743  1272;-44,4%;18426  23460;+15,9%;681  637;+6,9%
1;Feira de Santana;BA;957  765;-26,7%;810  203;-57,2%;4430  5097;+5,3%;92  331;-32,2%
2;Camaçari;BA;1138  518;-34,1%;355  137;-51,9%;1513  1795;-1,6%;593  12;-36,8%
3;Juazeiro;BA;418  477;-8,6%;275  76;-51,3%;1489  1872;-1,5%;42  134;-23%
4;Vitória da Conquista;BA;512  413;-25,5%;521  181;-56,3%;2265  3876;+6,3%;126  391;-6%
5;Ilhéus;BA;181  381;+55,5%;135  92;-47,4%;1307  1870;+8,5%;41  52;-61,5%
6;Simões Filho;BA;600  300;-19,8%;173  47;-59,5%;715  766;+6,2%;0  11;-21,4%
7;Lauro de Freitas;BA;484  288;-27,5%;227  86;-37,2%;1257  1426;+2,3%;0  21;+200%
8;Itabuna;BA;246  260;-25,9%;279  108;-46,5%;1639  2177;+2,5%;174  344;-36,5%
9;Santo Antônio de Jesus;BA;95  217;+69,5%;155  17;-73,4%;1166  903;+0,7%;52  292;+71,8%
0;Barreiras;BA;196  214;-2,7%;134  54;-50%;920  1500;+8,9%;72  407;+49,1%
1;Porto Seguro;BA;141  166;+2,5%;174  34;-71,9%;510  782;+1,6%;29  57;-26,9%
2;Teixeira de Freitas;BA;234  162;-11,5%;159  74;-7,5%;1406  1527;+10,7%;239  149;+73,3%
3;Itapetinga;BA;117  159;-35,6%;93  27;-50,9%;1039  747;-17,1%;19  18;-14,3%
4;Luís Eduardo Magalhães;BA;180  157;-15,6%;100  44;-52,2%;437  744;+15,5%;112  32;-42,9%
5;Jequié;BA;174  138;-28,1%;238  58;-62,8%;1196  1498;+9,8%;67  128;-48%
6;Eunápolis;BA;269  134;-2,2%;261  31;-69%;728  833;+10,8%;41  93;-30,6%
7;Alagoinhas;BA;241  132;-32,3%;122  28;-46,2%;775  895;+22,6%;2  146;-6,4%
8;Candeias;BA;173  124;-6,8%;57  22;-60,7%;490  558;+8,3%;4  2;0%
9;Mata de São João;BA;136  119;-32,8%;46  11;-72,5%;320  342;+5,9%;2  1;-50%
0;São Desidério;BA;85  91;+23%;22  10;-16,7%;261  257;-21,9%;5  41;+17,1%
1;Dias d'Ávila;BA;185  78;-40,5%;89  25;-61,5%;450  612;+20,2%;1  0;de 12 para 0
2;São Gonçalo dos Campos;BA;46  61;-20,8%;27  7;-63,2%;248  216;-13,3%;0  5;-77,3%
3;Casa Nova;BA;69  61;+32,6%;38  7;-22,2%;634  353;-20,1%;5  7;-30%
4;Brumado;BA;66  60;-20%;111  33;-60,2%;635  728;-9,7%;7  15;-21,1%
5;Mucuri;BA;114  56;-36,4%;33  13;-53,6%;287  245;-11,6%;8  49;+28,9%
6;Jacobina;BA;132  50;-40,5%;75  14;-53,3%;619  665;-10,3%;8  150;+37,6%
7;São Francisco do Conde;BA;132  49;-10,9%;15  8;-20%;138  126;-6%;0  3;-40%
8;Ubaíra;BA;3  48;+2.300%;15  1;-66,7%;202  107;-34,8%;5  16;+166,7%
9;Irecê;BA;32  47;-17,5%;50  17;-58,5%;382  451;+8,9%;18  67;+4,7%
0;Itamaraju;BA;261  46;-19,3%;130  19;-45,7%;549  458;+6,5%;34  85;-3,4%
1;Pojuca;BA;117  46;-22%;53  6;-33,3%;212  163;-1,2%;6  1;-80%
2;Valença;BA;68  42;-6,7%;97  8;-78,9%;1056  630;-7,5%;14  42;-31,1%
